AGE BP,Site 2,Site 3 ,Site 4,Site 20 ,Site 21
655,6.74,4.93,5.89,9.4,4.56
656,18.87,4.06,12.24,9.4,4.56
657,5.39,5.83,7.25,5.37,6.83
658,5.39,9.4,14.5,8.51,10.48
659,4.94,7.26,10.88,6.27,5.01
660,3.59,3.54,9.52,5.37,20.5
661,3.59,3.23,6.34,25.07,6.83
662,3.14,4.63,9.52,6.27,10.93
663,5.39,4.89,17.67,13.43,5.47
664,4.94,3.69,4.08,11.64,12.3
665,5.39,8.05,3.17,12.09,18.22
666,2.7,6.32,4.98,5.82,2.28
667,6.74,7.37,5.44,9.4,3.19
668,4.49,3.5,6.34,17.91,4.1
669,4.94,10.34,3.63,2.69,8.65
670,3.14,9.6,4.98,3.58,5.47
671,4.04,6.78,6.8,4.48,11.39
672,6.74,3.39,6.34,4.03,5.01
673,3.14,5.31,6.8,6.27,5.01
674,4.94,4.41,7.7,7.61,5.92
675,4.94,6.21,8.82,3.13,5.92
676,4.04,3.61,40.82,4.92,7.29
677,4.94,5.65,4.28,6.27,6.83
678,8.54,4.29,8.16,6.27,39.17
679,5.84,4.63,7.25,7.16,4.1
680,4.49,7.46,5.89,9.4,5.92
681,5.39,8.02,6.34,7.16,7.29
682,4.49,9.83,4.98,37.6,4.56
683,3.14,57.84,11.33,4.48,5.01
684,7.19,10.73,12.69,8.51,4.1
685,2.7,3.28,11.33,6.27,14.12
686,5.84,6.21,13.59,5.37,9.11
687,3.14,5.76,9.97,7.16,32.8
688,5.39,4.97,8.61,4.03,7.29
689,3.59,4.29,8.16,11.64,5.01
690,3.59,3.95,7.25,13.88,5.01
691,4.04,8.59,8.16,27.31,2.28
692,3.14,6.67,3.17,7.16,5.01
693,2.25,10.05,7.25,9.85,8.2
694,2.7,4.97,9.06,9.4,3.64
695,3.59,4.52,4.53,6.71,5.92
696,2.7,2.82,7.25,7.16,8.2
697,11.23,2.15,9.06,2.69,4.1
698,9.88,4.18,8.61,8.95,5.47
699,14.38,4.97,8.61,9.4,7.29
700,1.97,2.49,13.14,3.58,11.84
701,10.26,5.08,6.8,5.82,6.38
702,6.88,7,6.34,4.92,5.47
703,6.65,3.5,9.06,4.03,5.92
704,5.47,5.42,6.34,3.58,9.11
705,3.1,3.05,3.63,4.92,5.47
706,4.15,3.5,6.34,8.51,2.73
707,5.82,2.26,4.08,11.19,5.01
708,4.09,4.52,6.34,7.61,3.19
709,7.59,5.99,4.08,5.37,2.73
710,2.74,8.13,4.08,5.64,3.64
711,3.61,6.67,4.08,8.05,3.64
712,4.09,5.08,4.53,5.87,2.73
713,8.9,7.57,4.08,2.93,2.73
714,2.29,8.7,3.17,6.17,1.82
715,3.72,8.59,3.63,4.44,3.64
716,3.61,3.95,3.17,4.06,5.92
717,3.49,11.64,7.25,3.54,9.11
718,4.55,4.74,10.88,4.29,11.39
719,8.11,3.16,12.69,4.36,5.47
720,5.37,3.73,7.25,3.99,15.94
721,3.16,3.73,19.03,2.93,7.74
722,4.06,4.29,8.61,3.16,4.1
723,4.02,2.71,9.06,8.05,6.38
724,2.78,3.05,25.83,12.11,16.4
725,2.67,3.5,7.7,12.87,9.11
726,3.72,3.39,4.98,5.19,6.83
727,4.4,11.41,3.17,19.56,4.1
728,5.45,13.1,4.98,7.9,2.73
729,3.53,6.89,3.17,5.12,3.19
730,3.64,22.37,4.98,5.94,2.73
731,4.09,6.82,11.78,27.39,3.64
732,4.09,3.24,9.97,6.77,6.83
733,2.63,3.14,14.05,5.12,5.47
734,3.68,6.45,4.98,2.26,9.57
735,2.25,20.33,8.61,3.46,5.01
736,3.08,3.84,7.25,2.33,4.1
737,3.08,2.94,21.75,3.99,5.01
738,6.39,2.26,7.88,9.86,5.92
739,19.91,2.6,5.26,9.48,14.12
740,5.26,3.16,6.47,10.08,4.56
741,2.67,3.28,6.47,6.39,4.56
742,6.99,2.6,10.11,5.19,4.56
743,3.94,5.2,7.69,7.45,5.92
744,10.03,11.3,16.99,9.4,6.83
745,4.85,10.73,7.28,21.14,8.65
746,4.62,21.92,6.47,4.59,6.38
747,4.96,7.34,8.09,6.47,19.59
748,5.33,5.99,4.85,4.59,5.92
749,4.36,6.21,6.88,6.02,6.83
750,3.61,13.44,6.88,5.12,8.2
751,5.03,4.29,3.24,8.5,3.19
752,3.27,5.2,4.85,7.9,4.1
753,4.51,5.65,1.62,21.97,5.92
754,3.04,6.89,2.43,5.34,2.73
755,3.57,7.57,5.66,6.85,3.64
756,5.45,9.83,6.47,8.2,5.01
757,5.94,6,7.69,4.82,5.92
758,4.06,21.66,7.69,7.15,6.83
759,2.67,5.21,7.28,7.82,6.83
760,6.27,5.2,5.66,4.89,7.29
761,4.51,5.76,10.52,5.27,6.38
762,7.29,3.39,5.26,2.93,5.01
763,3.94,4.29,8.9,3.84,7.29
764,4.51,5.42,8.9,7.22,3.64
765,5.15,2.82,10.11,7.9,7.74
766,3.34,3.84,23.46,8.13,3.64
767,6.91,1.92,7.69,7.07,5.01
768,56.88,1.92,5.26,8.35,10.02
769,6.8,5.2,4.05,5.12,20.5
770,7.18,5.42,3.24,8.35,5.47
771,7.59,6.78,5.26,3.08,5.92
772,2.67,6.44,8.09,8.43,4.56
773,3.23,7.57,11.73,2.93,2.73
774,4.13,5.76,4.05,4.36,5.92
775,6.61,8.02,4.05,11.74,7.29
776,3.68,5.76,4.45,14.45,10.02
777,3.53,9.6,8.9,7.3,4.1
778,2.74,8.36,6.07,6.24,2.73
779,2.82,20.33,4.45,7.37,3.64
780,2.52,34.3,5.66,4.59,3.19
781,5.49,4.29,6.07,3.24,3.64
782,3.61,5.95,6.88,6.09,5.92
783,3.61,3.46,6.07,7.52,3.64
784,3.19,4.14,8.49,11.06,3.19
785,3.61,4.52,10.52,3.69,5.92
786,6.8,7.91,3.22,2.71,4.1
787,4.88,4.14,4.82,3.84,7.74
788,3.31,4.89,6.03,5.94,6.38
789,4.28,4.89,4.82,6.39,8.65
790,11.38,5.57,6.43,3.61,4.1
791,12.4,3.84,7.64,4.29,3.64
792,14.13,5.12,6.43,5.19,6.83
793,3.61,2.48,7.24,5.64,5.47
794,5.52,4.29,3.22,7,4.56
795,4.4,4.67,4.82,8.2,4.1
796,2.7,5.5,4.42,10.38,3.64
797,3.23,4.44,4.82,6.4,6.38
798,3.08,4.97,8.84,7.22,5.01
799,4.06,6.55,4.02,4.81,5.01
800,5.9,6.63,4.02,5.94,2.73
801,2.22,5.87,4.42,4.36,6.38
802,2.78,5.35,2.81,4.29,3.19
803,2.7,6.33,100.49,6.77,5.47
804,3.16,6.4,6.83,5.12,5.01
805,3.16,4.14,3.62,5.57,3.64
806,3.08,5.5,3.22,3.08,3.64
807,3.23,5.57,5.23,4.14,83.81
808,2.67,5.8,4.42,2.93,3.64
809,2.78,3.61,4.42,4.66,5.01
810,2.18,7.61,6.83,4.66,5.92
811,3.64,5.57,13.26,2.26,7.29
812,5.37,4.22,6.03,3.69,7.29
813,3.53,2.64,6.03,3.23,5.47
814,5,3.69,10.85,3.16,8.65
815,3.61,5.12,7.24,3.91,7.74
816,3.76,4.37,3.62,95.47,13.21
817,5.79,5.2,4.42,2.86,5.92
818,10.41,88.93,5.23,3.24,5.92
819,5.64,4.97,6.43,7.07,9.11
820,5.6,3.46,2.41,4.81,7.29
821,5.37,2.79,5.63,4.82,5.01
822,3.61,5.72,4.02,7.6,4.56
823,8.11,2.64,6.43,8.95,5.92
824,15.82,2.79,4.02,6.85,6.83
825,12.17,9.41,4.82,6.47,3.19
826,3.23,4.74,4.02,5.94,6.38
827,2.52,4.29,6.43,9.25,5.01
828,2.82,4.74,4.42,6.09,8.2
829,4.92,7,6.03,4.06,3.19
830,3.64,5.12,7.24,5.04,4.56
831,6.31,3.01,9.65,5.12,4.1
832,3.19,3.92,4.82,6.92,7.29
833,8.79,4.59,7.64,3.99,5.47
834,2.82,5.27,1.61,6.17,5.47
835,3.19,4.14,3.22,5.57,10.02
836,3.61,5.04,4.02,2.71,4.1
837,2.63,4.44,5.23,6.24,6.83
838,3.19,8.89,3.62,3.08,4.1
839,2.78,5.12,6.03,4.21,4.1
840,5.41,4.82,5.63,4.89,5.01
841,5.03,4.97,12.06,7.22,4.1
842,6.27,7.98,21.71,7.15,7.29
843,11.8,8.13,3.62,6.47,6.38
844,4.96,9.19,2.41,9.4,11.39
845,2.07,26.51,5.23,4.06,9.11
846,3.68,3.46,2.01,5.42,3.64
847,8.04,3.54,2.81,2.71,15.94
848,4.02,4.07,3.22,1.81,2.73
849,3.19,4.37,2.41,3.16,2.28
850,2.22,2.71,1.21,4.06,3.19
851,2.82,2.71,2.01,2.86,2.28
852,2.7,4.89,3.22,5.79,2.73
853,4.13,3.92,2.41,4.89,1.82
854,3.04,6.63,2.81,10.91,3.19
855,4.09,5.35,3.22,23.77,
856,3.64,4.89,2.81,2.71,
857,5.37,1.51,3.22,3.08,
858,3.08,2.11,3.22,4.44,
859,5.86,3.54,4.82,3.39,
860,3.72,2.26,2.81,2.33,
861,4.32,2.79,3.62,3.99,
862,6.46,3.46,3.62,3.61,
863,1.77,2.94,3.62,1.81,
864,2.78,4.14,8.44,4.06,
865,2.63,4.67,4.82,4.97,
866,4.55,2.48,4.02,3.08,
867,2.33,3.09,6.83,4.59,
868,7.74,3.24,10.85,3.46,
869,4.36,3.09,3.62,3.76,
870,23.86,5.2,6.83,2.71,
871,4.55,6.63,7.24,2.63,
872,2.67,3.99,5.23,6.02,
873,12.17,3.84,4.42,4.06,
874,5.45,3.54,5.63,4.74,
875,3.98,3.39,15.27,5.19,
876,8.11,13.71,2.81,5.79,
877,6.31,3.76,2.01,6.4,
878,6.01,8.06,2.01,3.61,
879,2.97,4.59,4.02,3.84,
880,1.92,6.78,4.42,4.21,
881,2.7,5.65,4.42,5.04,
882,4.88,5.42,5.23,2.86,
883,5.07,8.36,4.02,5.57,
884,19.31,6.48,6.43,7.37,
885,5.86,4.44,35.37,12.19,
886,2.18,5.5,3.22,5.27,
887,3.68,9.49,2.81,6.7,
888,5.9,8.66,4.82,13.62,
889,4.88,3.76,5.23,2.41,
890,14.01,5.65,8.04,2.48,
891,2.74,5.2,5.23,3.39,
892,5.9,6.33,6.03,2.63,
893,3.61,4.59,4.82,3.46,
894,3.08,4.59,13.67,4.74,
895,7.29,22.97,9.04,4.51,
896,5,2.79,5.88,5.42,
897,3.42,2.86,5.88,7.52,
898,6.05,5.12,13.56,6.39,
899,7.96,4.89,6.33,7.45,
900,9.09,10.17,5.42,40.85,
901,3.19,5.2,5.88,2.56,
902,7.1,5.72,8.14,3.24,
903,4.21,5.27,8.14,3.76,
904,2.64,15.06,5.42,3.31,
905,3.95,12.42,4.52,9.56,
906,5.22,6.02,10.85,5.12,
907,3.57,5.57,5.88,7.22,
908,1.81,6.93,6.78,6.7,
909,2.91,5.27,6.33,7.97,
910,10.82,5.65,6.33,11.29,
911,4.13,4.22,4.52,6.02,
912,6.69,3.16,9.95,6.24,
913,4.09,3.16,4.52,7.37,
914,4.09,3.39,4.52,6.32,
915,3.57,6.63,4.52,3.84,
916,7.95,6.48,4.97,4.36,
917,4.98,5.57,4.07,3.84,
918,6.61,10.99,11.3,7.67,
919,5.79,12.95,8.59,7.6,
920,6.69,5.65,5.42,,
921,8.84,4.82,4.52,,
922,3.57,6.55,5.42,,
923,3.12,4.22,4.97,,
924,4.9,3.76,2.71,,
925,3.57,3.54,7.68,,
926,4.09,5.57,4.52,,
927,4.38,4.37,4.52,,
928,5.87,9.19,7.23,,
929,5.27,5.12,4.52,,
930,3.49,3.99,4.97,,
931,7.65,5.5,4.52,,
932,9.81,7,6.33,,
933,7.73,8.06,11.3,,
934,2.53,12.27,4.97,,
935,3.64,13.03,2.71,,
936,4.09,24.47,3.62,,
937,3.05,4.74,3.16,,
938,5.27,4.14,4.52,,
939,5.42,3.92,3.62,,
940,4.46,4.74,6.33,,
941,3.57,10.1,4.07,,
942,5.29,4.22,4.07,,
943,3.29,3.47,9.04,,
944,2.62,3.77,4.52,,
945,2.17,3.88,5.42,,
946,2.73,4.11,9.95,,
947,2.28,4.03,11.75,,
948,6.07,2.34,8.14,,
949,3.62,5.39,6.78,,
950,2.62,4.56,7.23,,
951,4.01,4,6.78,,
952,5.74,6.82,3.62,,
953,5.4,5.01,6.78,,
954,3.06,5.88,3.62,,
955,3.57,9.99,4.52,,
956,2.17,9.46,6.78,,
957,3.73,5.88,6.78,,
958,5.18,3.62,10.85,,
959,9.42,5.35,3.16,,
960,3.62,5.5,6.33,,
961,3.62,3.2,2.26,,
962,5.35,5.31,4.07,,
963,2.23,3.24,2.71,,
964,3.06,2.64,4.07,,
965,3.23,5.88,6.78,,
966,4.85,5.92,54.7,,
967,4.01,9.39,3.16,,
968,4.46,4.67,4.07,,
969,2.62,5.39,3.16,,
970,4.01,2.3,2.71,,
971,4.07,3.13,4.52,,
972,3.45,3.17,4.52,,
973,2.84,3.17,4.52,,
974,6.63,6.33,4.52,,
975,4.9,33.88,8.14,,
976,6.18,2.34,4.97,,
977,4.12,4.49,8.14,,
978,16.49,2.68,18.08,,
979,5.96,2.3,5.42,,
980,7.33,4.07,3.16,,
981,5.04,2.79,5.88,,
982,3.67,3.58,4.07,,
983,3.67,2.3,4.07,,
984,2.75,5.88,4.07,,
985,3.21,3.62,2.71,,
986,3.21,4.45,4.07,,
987,4.12,14.1,2.71,,
988,6.87,3.54,4.97,,
989,4.12,3.17,5.88,,
990,4.58,3.62,8.14,,
991,4.58,2.83,3.62,,
992,4.58,3.51,2.71,,
993,3.21,2.68,4.97,,
994,2.29,3.58,3.16,,
995,5.04,4.22,5.42,,
996,2.75,2.15,3.16,,
997,4.58,5.47,3.16,,
998,4.58,5.47,4.07,,
999,2.75,10.74,4.97,,
1000,3.67,3.77,5.88,,
1001,3.21,3.05,9.04,,
1002,11.45,3.62,6.33,,
1003,3.21,2.68,4.97,,
1004,4.58,4.52,3.16,,
1005,7.79,2.15,4.52,,
1006,4.58,2.9,4.97,,
1007,7.79,2.71,2.71,,
1008,5.5,3.13,7.68,,
1009,3.67,4.07,4.52,,
1010,3.21,5.88,7.68,,
1011,5.5,4.07,8.59,,
1012,4.12,3.24,5.88,,
1013,5.04,3.09,3.62,,
1014,5.5,2.19,3.16,,
1015,3.67,4.15,4.07,,
1016,11.91,2.3,4.07,,
1017,4.12,5.88,11.75,,
1018,5.5,2.79,3.16,,
1019,5.5,2.11,15.82,,
1020,3.21,4.15,5.42,,
1021,5.04,9.5,4.52,,
1022,3.21,3.54,9.04,,
1023,4.12,2.3,3.16,,
1024,4.58,3.09,3.62,,
1025,3.21,1.88,4.97,,
1026,3.21,3.28,7.68,,
1027,4.12,7.99,5.42,,
1028,4.12,2.79,7.68,,
1029,3.67,10.82,6.33,,
1030,4.12,5.5,5.42,,
1031,7.33,3.62,3.16,,
1032,3.67,6.26,4.07,,
1033,5.5,3.13,7.68,,
1034,7.33,3.24,4.52,,
1035,5.04,3.66,9.95,,
1036,6.41,5.88,7.23,,
1037,2.75,4.03,28.03,,
1038,8.71,5.35,9.95,,
1039,45.36,2.34,6.33,,
1040,2.29,3.58,4.97,,
1041,9.16,3.58,4.52,,
1042,3.67,5.58,4.07,,
1043,4.12,6.14,2.71,,
1044,3.21,4.18,4.97,,
1045,4.12,4.52,4.52,,
1046,8.25,4.56,5.42,,
1047,2.75,2.71,6.78,,
1048,4.12,19.34,2.26,,
1049,5.04,5.09,6.78,,
1050,5.96,4.49,9.95,,
1051,7.79,4.45,5.88,,
1052,2.29,4.11,5.88,,
1053,2.75,4.52,3.16,,
1054,5.5,3.09,4.07,,
1055,4.12,3.69,6.78,,
1056,3.67,1.81,3.62,,
1057,1.83,2.22,5.42,,
1058,4.12,3.73,4.97,,
1059,3.67,3.51,2.26,,
1060,9.62,5.05,4.07,,
1061,9.62,1.77,3.16,,
1062,7.33,3.2,12.21,,
1063,37.11,4,4.52,,
1064,8.25,2.83,4.52,,
1065,2.75,4.45,10.4,,
1066,1.83,4.9,8.14,,
1067,3.21,2.86,8.14,,
1068,2.75,3.09,5.88,,
1069,3.67,4.52,3.62,,
1070,2.75,3.17,4.97,,
1071,2.75,5.43,6.33,,
1072,2.29,4.98,4.52,,
1073,1.83,2.26,5.88,,
1074,2.29,3.27,53.34,,
1075,2.29,3.13,4.52,,
1076,2.29,15.38,7.23,,
1077,2.75,4.6,8.14,,
1078,1.83,8.52,10.4,,
1079,1.83,5.92,4.52,,
1080,1.83,3.24,7.23,,
1081,1.83,4.41,5.88,,
1082,2.75,3.24,3.62,,
1083,2.29,3.05,4.07,,
1084,2.75,3.32,5.42,,
1085,1.83,4.52,4.07,,
1086,2.29,3.62,7.68,,
1087,1.83,22.05,5.42,,
1088,1.83,4.11,13.56,,
1089,2.29,5.43,4.52,,
1090,3.21,5.92,9.49,,
1091,1.83,2.64,10.85,,
1092,2.75,4.98,5.88,,
1093,3.67,2.3,9.04,,
1094,1.83,4.11,12.66,,
1095,2.75,4.56,6.33,,
1096,2.29,2.22,56.05,,
1097,4.12,2.68,3.16,,
1098,3.21,3.73,3.62,,
1099,6.41,3.54,4.52,,
1100,3.67,4.94,5.41,,
1101,4.12,3.24,5.87,,
1102,5.04,8.07,4.51,,
1103,3.67,4.15,12.18,,
1104,4.58,5.84,4.51,,
1105,2.75,7.27,4.06,,
1106,6.41,4.94,4.51,,
1107,3.67,4.94,10.38,,
1108,2.29,8.14,12.63,,
1109,2.75,39.39,6.32,,
1110,2.75,6.29,5.41,,
1111,5.04,3.17,3.61,,
1112,2.75,4.56,4.06,,
1113,3.21,3.54,3.61,,
1114,3.21,7.27,7.67,,
1115,3.67,3.62,3.16,,
1116,4.58,3.13,10.38,,
1117,5.04,5.13,9.02,,
1118,4.58,4.41,10.38,,
1119,4.58,7.69,55.5,,
1120,5.5,4.07,14.89,,
1121,3.21,2.83,8.57,,
1122,3.67,4.07,4.96,,
1123,6.41,2.26,13.99,,
1124,6.87,5.2,44.67,,
1125,4.58,2.71,6.32,,
1126,7.33,9.61,3.16,,
1127,7.33,9.15,6.32,,
1128,12.37,6.78,4.51,,
1129,4.12,60.09,9.48,,
1130,7.33,33,9.93,,
1131,11,4.82,11.73,,
1132,3.21,1.88,13.54,,
1133,5.5,3.16,4.06,,
1134,5.04,7.84,6.77,,
1135,4.12,3.92,4.51,,
1136,6.41,3.69,4.96,,
1137,3.21,3.16,8.12,,
1138,4.58,2.71,6.77,,
1139,3.21,7.16,8.57,,
1140,2.75,5.88,6.77,,
1141,3.21,2.34,5.41,,
1142,5.04,3.54,6.32,,
1143,2.75,7.23,7.67,,
1144,4.12,2.03,4.06,,
1145,4.58,2.56,5.41,,
1146,2.29,2.56,3.61,,
1147,5.04,3.24,5.41,,
1148,2.75,3.69,4.51,,
1149,2.75,4.9,6.32,,
1150,2.75,4.67,5.87,,
1151,3.67,3.09,3.61,,
1152,3.67,3.62,9.02,,
1153,3.21,4.07,4.06,,
1154,2.75,4.14,5.87,,
1155,2.29,4.45,3.61,,
1156,2.29,2.71,8.57,,
1157,3.21,3.62,5.87,,
1158,3.21,2.56,2.71,,
1159,4.58,3.24,9.48,,
1160,4.58,2.71,5.41,,
1161,2.29,4.52,4.51,,
1162,4.58,4.07,7.67,,
1163,5.96,2.18,5.41,,
1164,5.96,5.95,4.51,,
1165,8.71,3.92,4.06,,
1166,5.04,4.29,4.51,,
1167,24.74,2.64,3.61,,
1168,3.67,6.25,7.67,,
1169,7.33,4.97,4.06,,
1170,19.24,7.38,4.96,,
1171,3.21,3.09,5.87,,
1172,3.67,4.97,6.77,,
1173,4.12,4.14,2.71,,
1174,3.67,3.62,3.16,,
1175,2.75,4.9,4.51,,
1176,3.67,2.79,4.51,,
1177,7.33,3.09,4.06,,
1178,3.67,5.35,6.32,,
1179,6.41,3.32,7.67,,
1180,9.16,4.97,5.41,,
1181,6.87,3.09,12.63,,
1182,4.12,5.5,13.54,,
1183,6.41,2.71,4.51,,
1184,4.58,3.09,4.96,,
1185,4.58,3.62,6.32,,
1186,6.41,3.69,4.06,,
1187,3.67,3.09,9.02,,
1188,5.5,6.25,7.67,,
1189,3.67,4.52,4.06,,
1190,3.21,2.79,7.67,,
1191,3.67,4.9,4.96,,
1192,4.58,4.22,5.87,,
1193,2.75,2.18,17.6,,
1194,4.12,3.84,4.51,,
1195,4.12,5.35,4.06,,
1196,4.58,3.92,3.61,,
1197,4.58,5.73,4.96,,
1198,5.96,5.12,4.51,,
1199,2.75,3.32,3.61,,
1200,3.67,18.22,5.87,,
1201,4.12,6.32,3.61,,
1202,3.21,12.61,4.96,,
1203,3.21,35.58,4.96,,
1204,3.67,4.63,5.87,,
1205,3.21,4.01,4.06,,
1206,3.21,4.97,5.87,,
1207,5.96,5.87,4.96,,
1208,2.75,7.68,4.51,,
1209,5.5,3.61,6.77,,
1210,5.96,7.62,3.16,,
1211,1.37,4.12,3.16,,
1212,3.21,7.68,3.61,,
1213,2.75,5.82,4.96,,
1214,2.29,5.48,3.16,,
1215,2.29,4.52,5.87,,
1216,2.75,5.42,3.61,,
1217,3.67,5.82,4.51,,
1218,4.58,4.46,4.51,,
1219,3.21,7.62,4.96,,
1220,3.21,3.78,4.51,,
1221,6.87,3.28,3.16,,
1222,7.33,3.44,4.51,,
1223,12.37,3.28,5.87,,
1224,5.04,3.22,9.93,,
1225,7.33,3.95,10.38,,
1226,5.5,3.84,15.34,,
1227,6.87,2.88,55.95,,
1228,2.75,4.07,8.57,,
1229,2.75,4.52,9.93,,
1230,3.67,4.91,35.1,,
1231,4.12,2.77,5.06,,
1232,2.75,3.61,4.96,,
1233,2.75,4.97,4.06,,
1234,3.21,7.79,4.96,,
1235,3.21,7.17,3.61,,
1236,2.75,8.98,5.41,,
1237,3.21,4.52,14.44,,
1238,3.67,32.02,5.41,,
1239,4.58,5.99,7.67,,
1240,5.04,9.79,9.02,,
1241,7.79,41.21,7.67,,
1242,4.12,2.71,7.67,,
1243,3.67,2.32,8.12,,
1244,3.67,2.2,2.71,,
1245,4.12,2.32,3.61,,
1246,6.87,1.75,6.77,,
1247,4.12,2.43,3.61,,
1248,3.67,7.74,8.12,,
1249,3.21,3.39,4.96,,
1250,4.12,5.93,10.38,,
1251,3.21,5.42,4.51,,
1252,4.12,6.72,6.77,,
1253,2.29,8.13,6.32,,
1254,2.29,13.61,4.96,,
1255,2.29,3.56,4.96,,
1256,5.04,9.09,5.87,,
1257,3.21,7.28,7.67,,
1258,5.5,2.71,6.32,,
1259,3.67,5.76,8.57,,
1260,5.5,2.26,9.02,,
1261,3.67,2.77,5.87,,
1262,2.75,3.61,6.77,,
1263,1.37,4.57,7.22,,
1264,1.83,5.82,4.06,,
1265,3.67,2.15,6.32,,
1266,3.67,4.52,4.51,,
1267,5.04,4.24,4.51,,
1268,2.29,3.56,5.87,,
1269,6.87,5.36,8.12,,
1270,3.24,4.52,4.06,,
1271,3.09,4.12,9.93,,
1272,4.97,3.56,6.77,,
1273,3.16,3.56,15.79,,
1274,3.99,2.88,21.21,,
1275,7.76,3.5,4.51,,
1276,6.33,2.71,3.61,,
1277,3.99,2.32,15.79,,
1278,4.52,3.56,8.32,,
1279,3.99,5.87,16.25,,
1280,4.22,10.9,3.57,,
1281,2.11,10.45,5.55,,
1282,2.86,3.61,9.11,,
1283,4.07,4.74,6.74,,
1284,5.95,3.28,6.74,,
1285,4.44,3.22,5.15,,
1286,35.85,5.42,2.38,,
1287,3.77,4.07,3.96,,
1288,7.61,4.12,2.38,,
1289,3.92,6.16,3.57,,
1290,6.63,3.61,3.96,,
1291,4.29,4.57,3.96,,
1292,6.63,9.37,3.96,,
1293,3.62,8.24,3.57,,
1294,3.09,25.75,5.55,,
1295,4.59,3.16,3.57,,
1296,3.69,5.42,5.55,,
1297,3.01,9.94,8.32,,
1298,4.22,6.32,7.53,,
1299,4.9,8.98,15.06,,
1300,5.5,4.12,5.94,,
1301,12.58,3.22,3.17,,
1302,4.52,6.72,4.76,,
1303,5.35,4.12,4.36,,
1304,6.85,3.11,7.13,,
1305,3.99,3.61,5.15,,
1306,5.57,3.61,5.94,,
1307,4.9,3.16,3.57,,
1308,4.67,4.4,5.55,,
1309,5.2,3.22,5.15,,
1310,3.84,4.52,5.94,,
1311,4.44,7.23,2.77,,
1312,4.59,5.59,3.57,,
1313,3.99,16.55,5.55,,
1314,3.99,5.53,6.74,,
1315,11.75,3.16,5.94,,
1316,5.12,3.11,9.91,,
1317,4.07,4.52,5.55,,
1318,7.61,6.78,7.53,,
1319,5.5,4.57,5.15,,
1320,3.54,6.72,3.57,,
1321,8.51,3.56,2.77,,
1322,7.76,5.93,3.57,,
1323,4.37,3.56,4.36,,
1324,6.93,4.97,5.55,,
1325,5.42,2.82,5.94,,
1326,2.86,2.6,3.17,,
1327,9.19,4.18,4.76,,
1328,2.71,5.36,7.13,,
1329,2.34,5.03,3.57,,
1330,4.67,6.72,3.17,,
1331,3.01,4.17,6.34,,
1332,3.62,6.83,2.38,,
1333,2.79,3.95,3.57,,
1334,3.09,2.32,6.74,,
1335,2.79,2.26,6.74,,
1336,3.54,3.22,4.36,,
1337,2.34,3.95,6.34,,
1338,3.16,5.42,6.74,,
1339,3.92,6.89,4.76,,
1340,3.84,8.58,3.17,,
1341,3.92,7.17,3.57,,
1342,6.78,3.61,4.36,,
1343,6.7,2.2,6.34,,
1344,15.06,7,89.95,,
1345,2.64,2.09,3.6,,
1346,3.24,4.07,6.21,,
1347,3.16,6.21,4.41,,
1348,2.56,5.48,8.21,,
1349,3.16,5.03,6.54,,
1350,1.88,4.52,3.34,,
1351,4.52,9.09,3.6,,
1352,4.07,7.12,5.41,,
1353,4.07,3.67,4.81,,
1354,3.62,1.86,5.87,,
1355,4.07,3.5,4.41,,
1356,7.76,5.25,4.34,,
1357,3.54,92.73,3.34,,
1358,6.33,4.18,3.47,,
1359,2.86,9.43,7.81,,
1360,8.06,17.22,9.01,,
1361,6.55,6.89,20.56,,
1362,2.34,3.95,7.74,,
1363,1.88,3.5,9.61,,
1364,3.62,4.18,11.95,,
1365,3.09,2.54,6.08,,
1366,2.86,5.14,13.02,,
1367,3.46,4.07,6.34,,
1368,3.01,2.71,4.67,,
1369,3.09,2.2,4.27,,
1370,4.82,3.72,4.94,,
1371,13.41,5.82,4.94,,
1372,2.34,6.83,7.41,,
1373,3.24,8.19,5.01,,
1374,1.81,13.33,7.34,,
1375,3.92,8.64,15.69,,
1376,2.56,5.87,4.21,,
1377,2.79,7.23,4.41,,
1378,2.94,22.7,6.01,,
1379,2.26,5.87,6.81,,
1380,3.92,15.81,3.94,,
1381,2.49,4.97,6.27,,
1382,3.16,3.11,5.74,,
1383,3.09,3.16,4.67,,
1384,4.59,3.67,8.75,,
1385,5.2,4.01,11.55,,
1386,4.07,4.97,4.41,,
1387,3.84,5.03,19.36,,
1388,4.59,5.03,3.47,,
1389,4.29,17.62,7.01,,
1390,3.62,4.91,4.61,,
1391,3.16,4.52,3.2,,
1392,2.64,7.68,2.87,,
1393,6.4,9.04,3.27,,
1394,2.64,3.56,3.47,,
1395,2.94,6.89,3.74,,
1396,3.54,6.38,6.88,,
1397,2.18,5.31,5.87,,
1398,3.62,10.5,3.94,,
1399,4.14,14.91,5.07,,
1400,2.26,7.51,11.35,,
1401,3.69,28.01,10.95,,
1402,3.92,1.92,54.87,,
1403,5.05,1.75,7.01,,
1404,2.26,2.6,2.94,,
1405,3.09,5.99,2.87,,
1406,4.59,3.11,2.87,,
1407,5.95,3.28,2.74,,
1408,3.99,2.15,3.2,,
1409,3.62,2.94,5.87,,
1410,6.18,3.9,9.41,,
1411,2.79,5.36,7.54,,
1412,4.07,3.56,9.95,,
1413,5.05,3.67,15.29,,
1414,2.56,5.36,5.54,,
1415,4.37,3.67,7.81,,
